,filename,transcriptions,sample_rate,num_frames
0,1249120_30766630_68687326.wav,I HAD A PAY IN MY KNEE WHEN I WAS SWIMMING,44100,167936
1,1249120_43620482_83629897.wav,I CAN'T CARRY ANYTHING I HAVE A PAIN ON MY SHOULDER,48000,208896
2,1249120_43758322_46768180.wav,I HAVE THESE STRANGE GRASH ON MY ARM,48000,200704
3,1249120_43612961_52251557.wav,I HAVE A STRONG SHOULDER PAIN,44100,135168
4,1249120_41087148_36008493.wav,MY HAIR ALL THIS FALS OUTO AND I HAVE LOST IN LOVTA OF YIR LIVIN,48000,327680
5,1249120_43620482_50121309.wav,I HAVE A HAIR SHORTICH,48000,163840
6,1249120_40184183_102529041.wav,RED FLORCES ACCOMPANIED WITH EG,48000,212992
7,1249120_41150153_95951718.wav,I TOT HEIT OFF MY EAR DWELL FORME I CONE THAK DID 'T SOMETHING IN A WELING ITING AS ON EAD,48000,270336
8,1249120_22423108_11258404.wav,MY STOMACH HAS BEEN SORE SINCE YESTERDAY,48000,212992
9,1249120_43855932_50139479.wav,MY CHEST HERTS WHEN I GO TO TAKE A BREATH,48000,159744
10,1249120_43898158_31555970.wav,I FEEL EMOSTNALLY GUSHED,48000,102400
11,1249120_44093933_91622950.wav,THE'RE A TWINGLING SENSETION IN MY NECK,48000,208896
12,1249120_18985376_42567209.wav,I FELL A STIFFNESS IN MY ELBOWS AND SHOULDERS,48000,155648
13,1249120_15004831_90291037.wav,I CUT MY HAND A COUPLE OF DAYS AGO AND ALTHOUGH I DIDN'T THINK I NEEDED IT STITCHES IT HASN'T CLOSED UP,48000,364544
14,1249120_43577102_19467216.wav,EVEN THOUGH I  A ATAT MY FACEGATES BREAKING OUT THE BIG BIRDS,44100,229376
15,1249120_41087148_64642234.wav,I HAVE A BACK PEEN SINCE I TURN SWENTY YEARS O,48000,172032
16,1249120_35350617_33616773.wav,I FEEL A MEAST HEARTWRATE WITH PRICK,48000,167936
17,1249120_38042052_100934310.wav,I FEEL A PAIN IN MY BACK WHEN I SIT ON A CHAIR FOR LONG,48000,323584
18,1249120_13842059_25244471.wav,MY OPPER BACK HAS BEEN SORE FOR A WEEK,48000,135168
19,1249120_22345789_78347555.wav,MY CHEST AKNEY BREAKS OUT AND NEVER CLEARS UP,44100,249856
20,1249120_42557795_14830880.wav,I FET MY HAND OT THE FOLLOW WEEKS AGO AND EVEN THOUGH I KEP USING AN EMPTY WEL DILY S NOT GETIN GRITTET,48000,421888
21,1249120_40401830_39927278.wav,I HAVE TERRIBLE PAIN IN MY HEART,48000,118784
22,1249120_17632529_72644850.wav,I WAS PLAYING BASKET BALL YESTERDAY I HAVE SPRAINED ANKLE,44100,208896
23,1249120_44093933_67899830.wav,MY SWORD THE GEN HILLING WELL AND ITS BEEN LAY THIS FOR TWO WEEKS,48000,294912
24,1249120_33251186_99286295.wav,I HAVE KEPT TETCH EVERY TIME IUT IT ICE CREAM,48000,192512
25,1249120_43856216_94400559.wav,I HAVE THE IMPRESSION OF HAVING NO STRENGTH IN MY BODY,48000,258048
26,1249120_44093933_22765616.wav,I WAS VERY ACTIVE IN HIS PORT BUT NOW MY BODY IS PEELING PIN,48000,249856
27,1249120_35350617_103607518.wav,MY CHEST BREAKS OUT WITH RED PIMPLES AND WHITE HEADS,48000,167936
28,1249120_20518958_100318950.wav,I CANT TOP COFFINE,48000,188416
29,1249120_41203338_73002436.wav,WHEN I WAS YOUNG I HAD AN INJURY FROM SPORT IN MY KNEE,44100,282624
30,1249120_39438102_51841903.wav,I FEEL LIKE I WENT TO AN ACTIVE UNFIRST PRACTICE AND HAD A HUNDRED NEEDLES IN MY SHOULDER,48000,303104
31,1249120_43620482_26133157.wav,I FEEL PAIN IN MY BACK,48000,135168
32,1249120_40184183_29443999.wav,I NEVER HAD ANY ATNY PROBLEM UNTIL MY LAST PRIGNANCY WHEN ALL OF A SUDDEN MY BACK GOT GOWARD IN JUGS,48000,532480
33,1249120_41203338_19148355.wav,I AM FEELING COLD THOUGH THE TEMPERATURE IS HIGH,44100,167936
34,1249120_36505751_43960285.wav,WHEN I GET OUT OF BED IN THE MORNING MY BODY FEELS VERYBEAK,48000,253952
35,1249120_13842059_28311301.wav,SOMETIMES I COUGH BECAUSE I AM A SMOKER,48000,135168
36,1249120_43665783_63152777.wav,A THINK THERE'S SOMETHING WRONG WITH MOLD IT DOES NOT SIM TO HE LEGIG SHOOD,48000,294912
37,1249120_43825820_74870170.wav,MY BACK HURTS ME AND I CAN'T BEND IT OR WALK,96000,372736
38,1249120_33905644_23243574.wav,DOCTOR AFTER A BREAK UP I FEEL SOMETHING STRANGE IN ME,44100,311296
39,1249120_41221824_22127252.wav,MY LEFT EAR IS OK BUT THE RIGHT ONE FEELS LIKE ITS BEING A STABBAD WITH A NAIL,48000,307200
40,1249120_43604449_71175033.wav,I HAVE ALREADY BEAR CUPS,48000,143360
41,1249120_44027675_35559441.wav,,48000,77824
42,1249120_15830408_37803938.wav,I DO NOT KNOW WHY I FEEL COLD,48000,167936
43,1249120_43620482_100844689.wav,I'M HAVING A HARD TIME READING BECAUSE THE LETTERS ARE ALL FUZZY,48000,233472
44,1249120_13842059_99076771.wav,MY AIR ACHE WHEN I AM LISTENING TO MUSIC,48000,139264
45,1249120_21665495_75728926.wav,MY KNEE IS HURTME SO BADLY,48000,143360
46,1249120_35350617_52953676.wav,I CAN'T BREATHE,48000,102400
47,1249120_35408915_98453832.wav,I GET CLUSTERS OF PEMPLES ON MY FACE THAT NEVER GO AWAY,48000,184320
48,1249120_20518958_44860293.wav,MY CIVICIPOR INDICATY AN AGIBE I FEEL TIRED OF LITTLE WONK,44100,274432
49,1249120_35350617_80299909.wav,I WAS PLAYING BASKETBALL YESTERDAY I HAVE A SPRAINED ANKLE,48000,204800
50,1249120_20518958_70917723.wav,NEED TO SCRATCH MY SCEN EVERY MINUTE,44100,188416
51,1249120_33251186_93637157.wav,MY NIET SWEEL RITE BELONG THE NEA COP NON WHENNI PUN WHITE UP DEM,48000,270336
52,1249120_18172663_29038611.wav,MY CATS FILL LIKE THEY ARE TIED IS NOT AND ARE THROBBING,48000,184320
53,1249120_43951421_93560197.wav,I THINK MY BODY TEMPERATURE IS VERY LOW,48000,176128
54,1249120_43105396_55385390.wav,OWOR OF LAT Y,48000,155648
55,1249120_40401830_83559142.wav,I HAVE DISTURBANCE IN MY EMOTION,48000,118784
56,1249120_44111844_105575644.wav,MY AFFAIRS IS ALL BROKEN OUT WITH IMPULSE,48000,163840
57,1249120_28006404_73646648.wav,I FEEL SOMETHING HURT ME IN TAKING BREATH AND I CAN'T TAKE MY BREATH,44100,196608
58,1249120_43855932_34520227.wav,HAVING DIFFICULTY MOVING MY KNEE,48000,204800
59,1249120_43918153_16013952.wav,THER PAN IN MY FOOT,48000,196608
60,1249120_38202325_33582422.wav,I HAVE AN ISSUE WITH MY SKIN,48000,143360
61,1249120_36214391_87602663.wav,MY SHOULDER HO ANSWERED ME SO MUCH,48000,147456
62,1249120_41203338_66240190.wav,I FEEL PAIN WHEN I THINK OF HER,44100,147456
63,1249120_44111844_64066918.wav,MY NIECE SEEMED TO BRAND AS I GO UP ON DOWNSTAIRS,48000,163840
64,1249120_33905644_38108566.wav,MY HEAD HEARTS IN THE BACK AND THE PAIN LAST ALL DAY,48000,327680
65,1249120_19425875_55700950.wav,I FEEL VERY HARD TO BREATHE,48000,114688
66,1249120_41956733_68737282.wav,I HAVE A VERY RASH SENSATION CLOSE TO MY ARMS,48000,389120
67,1249120_41336418_15412005.wav,MY HEAD HURT ME GREADLY,48000,110592
